,Element Count,Element Name,Of Which are Numerical,source
11,90.0,amountsowedtoassociates,90.0,all
68,54.0,incomefromotherfixedassetinvestments,54.0,all
9,18.0,amountborrowingrepayablewithinsettime,18.0,all
76,14.0,maximumliabilityunderspecificguaranteedirectors,14.0,all
117,12.0,totalfeestoauditors,12.0,all
75,8.0,maximumliabilityunderguaranteesdirectors,8.0,all
10,7.0,amountpaidliabilityincurredinfulfillingspecificguaranteedirectors,7.0,all
87,6.0,nominalvalueownsharespurchased,6.0,all
85,4.0,netconsiderationpaidforownshares,4.0,all
26,3.0,compensationforlossofficedirectors,3.0,all
77,1.0,maximumnominalvalueownsharesheldbyentityinperiod,1.0,all
0,35.0,addresscontrollingparty,0.0,all
1,200248.0,addressline1,0.0,all
2,146377.0,addressline2,0.0,all
3,50392.0,addressline3,0.0,all
20,532066.0,balancesheetdate,0.0,all
25,100.0,cashflowstatementfree-textcomment,0.0,all
27,84.0,consolidationpolicy,0.0,all
28,23097.0,contentotherspecificaccountingpolicy,0.0,all
30,234354.0,countryformationorincorporation,0.0,all
31,28.0,countryinwhichparentlargestgroupincorporated,0.0,all
32,140794.0,countyregion,0.0,all
33,3822.0,creditorsfree-textcomment,0.0,all
36,1922.0,dateassumedposition,0.0,all
37,13678.0,dateauditorsreport,0.0,all
38,276.0,dateformationorincorporation,0.0,all
39,457.0,dateresignation,0.0,all
40,25511.0,datesigningdirectorsreport,0.0,all
42,2217.0,debtorsfree-textcomment,0.0,all
43,58.0,definedbenefitpensionspolicy,0.0,all
44,31238.0,definedcontributionpensionspolicy,0.0,all
45,13.0,descriptionarrangementsrelatedtoemployeessuchasprovisioninformationconsultation,0.0,all
46,133222.0,descriptionprincipalactivities,0.0,all
47,195768.0,descriptionsharetype,0.0,all
48,399.0,descriptionspecificguaranteeitstermsdirectors,0.0,all
52,66.0,directorsremunerationfree-textcomment,0.0,all
54,41.0,dividendsfree-textcomment,0.0,all
55,37.0,emphasismatterstatement,0.0,all
56,10886.0,employeebenefitspolicy,0.0,all
57,13680.0,employeeinformationfree-textcomment,0.0,all
58,958.0,employmentdisabledpersonspolicy,0.0,all
59,532066.0,enddateforperiodcoveredbyreport,0.0,all
60,532066.0,entitycurrentlegalorregisteredname,0.0,all
61,392.0,entityformerlegalorregisteredname,0.0,all
62,2181.0,entitytradingname,0.0,all
66,3.0,furtherinformationonparentlargestgroup,0.0,all
69,3489.0,informationoncontrollingpartyincludingdescriptionrelationship,0.0,all
70,14920.0,intangibleassetspolicy,0.0,all
72,2370.0,lesseeoperatingleasepolicy,0.0,all
73,4107.0,lessoroperatingleasepolicy,0.0,all
78,610.0,nameassociate,0.0,all
79,7306.0,namecontrollingparty,0.0,all
80,491523.0,nameentityofficer,0.0,all
81,42.0,nameparentlargestgroupinwhichresultsareconsolidated,0.0,all
82,16.0,nameparentsmallestgroupinwhichresultsareconsolidated,0.0,all
83,1744.0,nameseniorstatutoryauditor,0.0,all
84,2024.0,namesubsidiary,0.0,all
91,1797.0,opinionauditorsonentity,0.0,all
96,189573.0,postalcodezip,0.0,all
98,156141.0,principalcurrencyusedinbusinessreport,0.0,all
99,192997.0,principallocation-cityortown,0.0,all
102,274.0,provisionsfree-textcomment,0.0,all
103,12566.0,provisionspolicy,0.0,all
105,1229.0,researchdevelopmentpolicy,0.0,all
108,532066.0,startdateforperiodcoveredbyreport,0.0,all
109,10.0,statementonqualifyingthirdpartyindemnityprovisions,0.0,all
110,665.0,statementonqualitycompletenessinformationprovidedtoauditors,0.0,all
111,415.0,statementonscopeauditreport,0.0,all
112,9.0,statementonwhetherredemptionmandatorycompanyoptionorshareholderoption,0.0,all
113,216.0,statementthatultimatecontrollingpartynotknown,0.0,all
114,844.0,titleotherspecificaccountingpolicy,0.0,all
119,532066.0,ukcompanieshouseregisterednumber,0.0,all
