,Element Count,Element Name,Of Which are Numerical,source
156,2.0,transfertofrommaterialfund,2.0,char
157,2.0,rentalincomefrominvestmentproperty,2.0,char
158,2.0,profitlosssubsidiaries,2.0,char
161,2.0,totalborrowings,2.0,char
162,2.0,salariesdirectors,2.0,char
164,2.0,otherinvestmentsotherthanloans,2.0,char
166,1.0,premisescosts,1.0,char
167,1.0,investmentpropertyfairvaluemodel,1.0,char
169,1.0,disposalspropertyplantequipment,1.0,char
171,1.0,disposalsdecreaseindepreciationimpairmentpropertyplantequipment,1.0,char
172,1.0,investmentproperty,1.0,char
173,1.0,gainlossonrevaluationfixedassets,1.0,char
174,1.0,heritageassets,1.0,char
175,1.0,pensionotherpost-employmentbenefitcostsotherpensioncosts,1.0,char
176,1.0,supportcostscharitableactivity,1.0,char
178,1.0,donatedgoodsfacilitiesservices,1.0,char
183,1.0,donationsgifts,1.0,char
186,1.0,furthertrusteeemployeebenefititemcomponenttotaltrusteesremunerationbenefits,1.0,char
187,1.0,trusteesremunerationbenefits,1.0,char
188,1.0,totalgrantstoinstitutions,1.0,char
0,64.0,accountstypefullorabbreviated,0.0,char
1,64.0,accountingstandardsapplied,0.0,char
3,64.0,charityregistrationnumberenglandwales,0.0,char
8,64.0,statementthatcompanyentitledtoexemptionfromauditundersection477companiesact2006relatingtosmallcompanies,0.0,char
10,64.0,statementthatmembershavenotrequiredcompanytoobtainanaudit,0.0,char
11,64.0,accountsstatusauditedorunaudited,0.0,char
13,64.0,directorsigningdirectorsreport,0.0,char
14,64.0,statementthataccountshavebeenpreparedinaccordancewithprovisionssmallcompaniesregime,0.0,char
15,64.0,dateauthorisationfinancialstatementsforissue,0.0,char
16,64.0,entitytradingstatus,0.0,char
17,64.0,directorsigningfinancialstatements,0.0,char
18,64.0,entitydormanttruefalse,0.0,char
22,64.0,statementthatdirectorsacknowledgetheirresponsibilitiesundercompaniesact,0.0,char
28,62.0,versionproductionsoftware,0.0,char
30,62.0,taxpolicy,0.0,char
31,62.0,nameproductionsoftware,0.0,char
32,62.0,reporttitle,0.0,char
33,62.0,accountshavedepartedfromfrs102orapplicablelegislationtoachievefairpresentationtruefalse,0.0,char
34,62.0,financialstatementsarepreparedongoing-concernbasistruefalse,0.0,char
35,62.0,legalformentity,0.0,char
36,62.0,scopeaccounts,0.0,char
38,62.0,reportperiod,0.0,char
39,62.0,applicablelegislation,0.0,char
40,62.0,sorpsapplied,0.0,char
41,62.0,norelatedpartytransactionsinreportingperiodrequiredisclosuretruefalse,0.0,char
42,62.0,morethan200subsidiariestruefalse,0.0,char
43,62.0,accountsarepreparedinaccordancewithcharitiesfrs102sorptruefalse,0.0,char
44,62.0,accountsarepreparedinaccordancewithapplicablecharityandorcompanylawinjurisdictionsregistrationtruefalse,0.0,char
45,62.0,accountsarepreparedinaccordancewithfrs102orapplicablelegislationtruefalse,0.0,char
53,55.0,nonetrusteeshavebeenpaidanyremunerationorreceivedanyotherbenefitstruefalse,0.0,char
55,52.0,nomatterhascometoattentionindependentexaminertruefalse,0.0,char
56,52.0,notrusteeexpenseshavebeenincurredtruefalse,0.0,char
58,50.0,descriptionnaturetransactionsbalanceswithrelatedparties,0.0,char
59,50.0,descriptionactivity,0.0,char
60,49.0,explanationcharitableaimsincludingdetailschangesitseekstomakethroughactivities,0.0,char
62,43.0,addressentitycharityauditors,0.0,char
67,35.0,reservespolicy,0.0,char
68,33.0,descriptiondepreciationmethodforpropertyplantequipment,0.0,char
74,30.0,noemployeesreceivedbenefitsexcludingemployerpensioncostsmorethan60000truefalse,0.0,char
76,28.0,significantcharitableactivitiesundertaken,0.0,char
78,27.0,methodsusedtorecruitappointnewtrustees,0.0,char
83,22.0,explanationcharitysorganisationalstructureincludingthoseanysubsidiaryundertakings,0.0,char
84,22.0,explanationmainactivitiesundertakenforpublicbenefit,0.0,char
85,22.0,significantactivitiesundertakentoachievestatedaimsobjectives,0.0,char
96,12.0,principalfundingsourcescharity,0.0,char
97,11.0,policyforinductiontrainingtrustees,0.0,char
101,9.0,explanationrelationshipsbetweencharityrelatedparties,0.0,char
102,9.0,explanationcontributionmadebyvolunteerstoactivities,0.0,char
103,8.0,summarymainachievements,0.0,char
106,8.0,summaryplansstrategyformanagingrisks,0.0,char
107,7.0,inventoriespolicy,0.0,char
109,7.0,leasespolicy,0.0,char
113,6.0,investmentpolicy,0.0,char
116,5.0,nameultimatecontrollingpartyifnotultimateparent,0.0,char
117,5.0,controllingpartyultimatecontrollingpartytruefalse,0.0,char
121,4.0,propertyplantequipmentpolicy,0.0,char
122,4.0,explanationhowgrantmakingactivitiescontributetoaimsobjectives,0.0,char
123,4.0,charitableobjective,0.0,char
127,4.0,reportincludeslistsubsidiariestruefalse,0.0,char
128,4.0,performancematerialfundraisingactivitiesagainstfundraisingobjectivesset,0.0,char
130,3.0,addressentitybankers,0.0,char
131,3.0,nameentitybankers,0.0,char
133,3.0,entityhasclaimedexemptionfrompresentingcashflowstatementnotesinlinewithfrs1021.12btruefalse,0.0,char
134,3.0,descriptionclassshareheldinsubsidiary,0.0,char
140,3.0,allocationcostspolicy,0.0,char
142,3.0,explanationfundsmateriallyindeficit,0.0,char
144,3.0,explanationaffiliationswithotherbodies,0.0,char
152,2.0,oneormoretrusteeshavehadtheirexpensesmetbycharitytruefalse,0.0,char
159,2.0,dateendreportingperiodsubsidiaryifdifferentfromentity,0.0,char
160,2.0,oneormoretrusteeshasbeenpaidremunerationorreceivedotherbenefitstruefalse,0.0,char
163,2.0,descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,0.0,char
165,1.0,entityhasclaimedexemptionfromreportingdisclosurerelatedpartytransactionsforwholly-ownedentitiestruefalse,0.0,char
168,1.0,heritageassetsfree-textcomment,0.0,char
170,1.0,investmentpropertypolicy,0.0,char
177,1.0,explanationusesocialinvestment,0.0,char
179,1.0,governingdocument,0.0,char
180,1.0,nameentityaccountants,0.0,char
181,1.0,statementcompliancewithapplicablereportingframework,0.0,char
182,1.0,fundaccountingpolicy,0.0,char
184,1.0,explanationpurposestrustlawrestrictionsimposedoneachmaterialfund,0.0,char
185,1.0,expenditurepolicy,0.0,char
189,1.0,investmentperformanceagainstinvestmentobjectivesset,0.0,char
190,0.0,totaladditionsheritageassets,0.0,char
191,0.0,revaluationpropertyplantequipmentfree-textcomment,0.0,char
192,0.0,definedbenefitpensionplanfree-textcomment,0.0,char
194,0.0,governmentgrantspayable,0.0,char
195,0.0,otherrepairsmaintenanceexpense,0.0,char
196,0.0,independentvaluerwasinvolvedinrevaluationpropertyplantequipmenttruefalse,0.0,char
197,0.0,descriptionprinciplerisksuncertainties,0.0,char
198,0.0,inventoriesfree-textcomment,0.0,char
199,0.0,recoverableamountspecificintangibleassetbasedvalueinusetruefalse,0.0,char
200,0.0,intangibleassets,0.0,char
201,0.0,propertyplantequipmentfree-textcomment,0.0,char
202,0.0,intangibleassetsgrosscost,0.0,char
203,0.0,accumulatedamortisationimpairmentintangibleassets,0.0,char
205,0.0,datewhenceasedtobelegalorregisteredname,0.0,char
206,0.0,numberemployeeswhosetotalbenefitsexcludingemployerpensioncostsfallwithinbandsgbp10000overgbp60000,0.0,char
208,0.0,increasedecreaseinunrestrictedfunds,0.0,char
209,0.0,furtheritemssupportcostscomponenttotalsupportcosts,0.0,char
210,0.0,generaldescriptioncontingentliabilitiesincludingfinancialeffectuncertaintiespossiblereimbursement,0.0,char
211,0.0,reportincludesstrategicreporttruefalse,0.0,char
212,0.0,independentexaminationfree-textcomment,0.0,char
213,0.0,statementonrespectiveresponsibilitiesdirectorstrusteesindependentexaminer,0.0,char
214,0.0,dateindependentexaminersreport,0.0,char
215,0.0,legacies,0.0,char
216,0.0,charitableexpenditure,0.0,char
217,0.0,reviewfinancialpositionendreportingperiod,0.0,char
220,0.0,financialinstrumentsclassificationpolicy,0.0,char
221,0.0,directcharitableexpenditure,0.0,char
222,0.0,futureminimumleasepaymentsundernon-cancellableoperatingleases,0.0,char
223,0.0,generaldescriptionpriorperiodpolicychangeadjustmentstheireffect,0.0,char
224,0.0,finishedgoods,0.0,char
225,0.0,trusteeshaveapprovedstrategicreporttruefalse,0.0,char
226,0.0,heritageassetspolicy,0.0,char
227,0.0,charitablesupportcosts,0.0,char
228,0.0,accruedliabilitiesnotexpressedwithincreditorssubtotal,0.0,char
